"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUST00000106403.8",46.7924191456949,22.4374107470591,3.11722385848288,7.19788239975141,6.1154852121647e-13,1.49766194350843e-08
"ENSMUST00000077046.12",25.4236011861344,21.5890160958546,3.11780306683396,6.92443224702375,4.3772747195044e-12,4.8799027771121e-08
"ENSMUST00000114616.8",25.544020546983,21.5623279171139,3.11779697407039,6.91588583106603,4.64948746271008e-12,4.8799027771121e-08
"ENSMUST00000148406.8",23.7346824683399,21.4937366423427,3.11789333321987,6.89367285703323,5.43699804321416e-12,4.99313511546127e-08
"ENSMUST00000169786.8",22.4888611152349,21.4188573086645,3.11796852214359,6.86949119484346,6.4431294089586e-12,5.25966971718644e-08
"ENSMUST00000108231.8",20.2474724715785,21.2691192282831,3.11812725576044,6.82111969259448,9.03336361404024e-12,6.63672191359922e-08
"ENSMUST00000184455.8",19.055614672519,21.1847702718536,3.11822700584147,6.79385119562093,1.09179000480097e-11,7.29206544206569e-08
"ENSMUST00000199240.5",17.7815015041862,21.0893307450323,3.11834744234681,6.76298300139414,1.35179103324505e-11,8.2350974975178e-08
"ENSMUST00000184332.8",16.8547383945777,21.0129120588684,3.11844714281896,6.73826141554337,1.60292990299945e-11,8.2350974975178e-08
"ENSMUST00000050125.9",16.6875564815334,21.0036694057582,3.11846706995824,6.73525451273708,1.63643233516555e-11,8.2350974975178e-08
"ENSMUST00000045011.9",16.2199599679079,20.9637071091401,3.11852186558072,6.72232166800482,1.78851569842561e-11,8.2350974975178e-08
"ENSMUST00000076140.4",16.2040161307716,20.9624800247064,3.11852477750947,6.72192190868129,1.79343069812145e-11,8.2350974975178e-08
"ENSMUST00000140375.8",15.7078744773171,20.9138677223546,3.11858748505516,6.70619882321009,1.99759506861164e-11,8.63301835857815e-08
"ENSMUST00000219400.2",14.2743831165153,20.7850579526558,3.11879319668718,6.66445533315065,2.65648677711362e-11,1.08427459459867e-07
"ENSMUST00000065111.15",22.4484251278659,20.2101388624348,3.11797139869638,6.48182304394602,9.06208894390912e-11,3.50411901378979e-07
"ENSMUST00000235069.2",97.7170791623284,9.80126453572015,2.08619874346218,4.69814516303194,2.62534816851475e-06,0.00564438120423854
"ENSMUST00000169861.9",85.5091487864724,9.6089605180002,1.98437043473392,4.84232195249807,1.28330610470517e-06,0.00304139407118013
"ENSMUST00000176204.8",83.8934664462468,9.58123603422959,1.95831573544111,4.89259002561782,9.95175698199044e-07,0.00252119184037881
"ENSMUST00000203467.3",30.0770001653767,8.10133215804329,1.49956781436043,5.40244467803447,6.5738735468501e-08,0.000201239964838971
"ENSMUST00000112651.8",23.0447994566418,7.71758044001288,1.10682910536525,6.97269379943358,3.10928892852025e-12,4.56872696578909e-08
"ENSMUST00000236797.2",19.8327866542764,7.49977140620095,1.48351164198707,5.05541796500868,4.29449199187099e-07,0.00116856308203989
"ENSMUST00000111057.2",17.6151413417443,7.32961806807129,1.51001872661536,4.85399150280758,1.2100092294549e-06,0.00296327226929406
"ENSMUST00000063380.11",15.6761848588127,7.16191457764114,1.45880305767612,4.90944582269392,9.13341273578881e-07,0.00239650964387739
"ENSMUST00000133919.8",13.7923925727643,6.97681785518598,1.52773503926396,4.56677216655794,4.95291831483187e-06,0.00931834077951307
"ENSMUST00000130028.2",12.2142876474853,6.80240676981508,1.49523356781582,4.54939409884422,5.38006011763104e-06,0.00931834077951307
"ENSMUST00000127237.3",8.69519330860284,6.31267879762717,1.38592761544469,4.55484018593689,5.24254199284864e-06,0.00931834077951307
"ENSMUST00000111316.9",104.617575304142,5.62772012413789,0.903009780132993,6.23218070053356,4.59986435349086e-10,1.6897371709331e-06
"ENSMUST00000183175.8",5.2366705482382,5.58350606724652,1.16176651998929,4.80604835065998,1.53942684413418e-06,0.00353437971286545
"ENSMUST00000063672.10",5.07412830672682,5.52942486291065,1.17816445147717,4.69325386280153,2.68893468195224e-06,0.00564438120423854
"ENSMUST00000114308.10",38.4268311266316,5.37885419869682,1.18306888022029,4.54652665506279,5.45384656819968e-06,0.00931834077951307
"ENSMUST00000198241.5",4.30575410521663,5.29946630408643,1.17066064162438,4.52690225984963,5.98546064730268e-06,0.00977212907325957
"ENSMUST00000212358.2",5.88230067170788,5.00304832636482,1.09811587276458,4.55602951423451,5.21296148207285e-06,0.00931834077951307
"ENSMUST00000188553.7",125.218012718464,4.21674889233536,0.911518179096486,4.62607218269095,3.72665466268496e-06,0.00760537753924448
"ENSMUST00000241104.1",28.9699766162985,3.71943265489799,0.684837017390168,5.43112092432198,5.6001169098707e-08,0.000178884777935344
"ENSMUST00000026297.12",337.366417487072,3.23673958699563,0.701032025550557,4.61710659288875,3.89127421223997e-06,0.00772670338105564
"ENSMUST00000163897.8",26.5950406798564,-1.56769460809492,0.330919470076561,-4.73739005967894,2.16488232604937e-06,0.00481974968522792
"ENSMUST00000180046.8",52.0927815001565,-5.44414799821006,1.19144346587556,-4.56937165223302,4.89188633889452e-06,0.00931834077951307
"ENSMUST00000107195.9",3.69340627535606,-5.69152847662806,1.09252190611987,-5.20953259128846,1.89316952010266e-07,0.000534958736432393
"ENSMUST00000033994.15",6.83889400405295,-6.08304948009885,0.984876249621642,-6.17646073040726,6.55545050941933e-10,2.29343996893585e-06
"ENSMUST00000146829.8",6.50713448150235,-6.52082809056676,1.22633392664887,-5.31733482118188,1.05298199688051e-07,0.000309446137315257
"ENSMUST00000109254.2",8.4069808902611,-6.88777586111474,0.93061699820888,-7.4013002925708,1.3485737732109e-13,4.95391832720158e-09
"ENSMUST00000172748.8",15.2073951380972,-7.74222284750909,1.70474173695399,-4.54158109681928,5.58339000763106e-06,0.00932286546524196
"ENSMUST00000171562.8",73.8440347902037,-24.9297938785634,3.06084104174644,-8.144752876268,3.8005730228073e-16,2.7922429941263e-11
